,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,longyearbyen,78.22,15.64,-11.6,-11.6,57,0,2.08
1,ushuaia,-54.8,-68.3,40.06,40.06,82,100,5.44
2,esperance,-33.87,121.9,66.4,66.4,80,86,3.38
3,shache,38.42,77.24,20.82,20.82,72,65,2.17
4,sovetskiy,61.36,63.58,-6.72,-6.72,98,44,3.47
5,khatanga,71.97,102.5,-24.14,-24.14,91,57,2.89
6,tawang,27.58,91.87,15.01,15.01,35,0,4.09
7,salisbury,51.07,-1.8,45.18,46.99,94,97,8.52
8,ust-kan,50.93,84.76,18.55,18.55,95,84,6.42
9,maneromango,-7.2,38.78,72.72,72.72,95,100,0.47
10,atuona,-9.8,-139.03,80.78,80.78,78,62,15.21
11,tarko-sale,64.92,77.78,-1.17,-1.17,96,91,8.5
12,namibe,-15.2,12.15,74.95,74.95,73,7,11.05
13,hasaki,35.73,140.83,37.29,39.0,90,100,14.88
14,hermanus,-34.42,19.23,64.24,66.0,76,46,11.01
15,vaini,-21.2,-175.2,78.55,78.55,87,25,19.64
16,mar del plata,-38.0,-57.56,65.35,65.35,68,0,11.97
17,sohag,26.56,31.69,43.25,43.25,55,0,6.89
18,punta arenas,-53.15,-70.92,51.01,51.01,62,13,23.0
19,ribeira grande,38.52,-28.7,54.72,54.72,73,100,5.19
20,ranfurly,-45.13,170.1,70.2,72.0,61,52,1.01
21,klaksvik,62.23,-6.59,45.84,45.84,86,100,18.7
22,kapaa,22.08,-159.32,77.0,77.0,70,74,1.01
23,port alfred,-33.59,26.89,66.0,66.0,97,0,5.01
24,otane,-39.88,176.63,81.0,81.0,54,0,1.01
25,nioro,13.35,-15.75,78.01,78.01,15,100,3.31
26,cherskiy,68.75,161.3,-20.88,-20.88,95,100,2.28
27,port elizabeth,-33.92,25.57,68.0,68.0,94,75,16.11
28,fortuna,40.6,-124.16,56.93,59.0,93,100,5.75
29,avarua,-21.21,-159.78,80.76,80.76,83,99,13.44
30,leningradskiy,69.38,178.42,-12.41,-12.41,95,97,4.21
31,cockburn town,21.46,-71.14,76.05,76.05,71,0,9.28
32,vana-vigala,58.78,24.25,34.21,36.0,93,54,7.18
33,wau,7.7,28.0,70.65,70.65,17,48,8.72
34,qaanaaq,77.48,-69.36,-12.51,-12.51,44,0,5.12
35,new norfolk,-42.78,147.06,65.55,72.0,61,88,5.99
36,hobart,-42.88,147.33,65.82,72.0,64,86,8.16
37,iqaluit,63.75,-68.51,-27.0,-27.0,60,38,8.99
38,bodaybo,57.85,114.19,5.94,5.94,96,100,2.77
39,barrow,71.29,-156.79,-31.0,-31.0,97,1,9.17
40,karratha,-20.74,116.85,85.59,85.59,74,0,2.82
41,petatlan,17.52,-101.27,81.27,81.27,65,87,7.36
42,khorixas,-20.37,14.97,70.95,70.95,39,5,2.08
43,castro,-24.79,-50.01,65.7,65.7,72,9,3.38
44,masindi,1.67,31.71,71.2,71.2,58,98,1.92
45,souillac,-20.52,57.52,75.69,77.0,83,75,11.41
46,luanda,-8.84,13.23,81.07,81.07,78,35,11.52
47,bredasdorp,-34.53,20.04,66.13,66.2,68,31,21.92
48,cape town,-33.93,18.42,63.7,66.99,88,40,16.11
49,hobyo,5.35,48.53,77.81,77.81,81,99,15.86
50,bluff,-46.6,168.33,69.01,69.01,67,46,3.0
51,yerbogachen,61.28,108.01,26.22,26.22,89,100,16.73
52,touros,-5.2,-35.46,82.71,82.71,82,93,17.52
53,dikson,73.51,80.55,-7.82,-7.82,96,100,7.07
54,lloydminster,53.28,-110.0,31.17,31.17,97,64,6.42
55,saint-augustin,51.23,-58.65,15.12,15.12,78,36,11.12
56,tananger,58.93,5.6,42.82,44.01,94,100,10.0
57,rio grande,-32.03,-52.1,81.0,81.0,67,71,1.01
58,tahta,26.77,31.5,42.46,42.46,64,0,5.88
59,opuwo,-18.06,13.84,70.47,70.47,38,69,4.94
60,puerto ayora,-0.74,-90.35,77.0,77.0,44,61,3.0
61,makakilo city,21.35,-158.09,78.37,80.01,57,6,5.01
62,mahibadhoo,3.78,72.97,80.82,80.82,79,100,13.89
63,rikitea,-23.12,-134.97,79.25,79.25,77,18,14.03
64,san patricio,19.22,-104.7,78.51,78.51,67,74,8.21
65,imeni poliny osipenko,52.42,136.49,-19.52,-19.52,95,0,5.46
66,cravo norte,6.3,-70.2,85.69,85.69,43,92,6.67
67,pevek,69.7,170.31,-13.14,-13.14,96,100,1.79
68,faanui,-16.48,-151.75,82.45,82.45,76,22,11.21
69,tshane,-24.02,21.87,74.73,74.73,48,6,12.62
70,okha,53.57,142.95,-12.23,-12.23,84,0,18.37
71,cabo san lucas,22.89,-109.91,71.76,73.0,79,38,4.0
72,bambous virieux,-20.34,57.76,75.63,77.0,83,75,11.41
73,kodiak,57.79,-152.41,19.18,19.18,83,72,23.6
74,jamestown,42.1,-79.24,34.7,36.0,93,100,4.0
75,albany,42.6,-73.97,36.91,39.99,89,100,3.69
76,carnarvon,-24.87,113.63,78.37,78.37,63,15,20.2
77,hithadhoo,-0.6,73.08,82.65,82.65,79,100,14.88
78,port lincoln,-34.73,135.87,68.59,68.59,67,41,6.06
79,ossora,59.24,163.07,31.39,31.39,92,100,33.33
80,yellowknife,62.46,-114.35,10.0,10.0,84,100,1.57
81,tailai,46.38,123.4,-0.08,-0.08,78,0,9.15
82,huangpu,25.44,113.17,39.83,39.83,95,100,6.69
83,yulara,-25.24,130.99,87.1,87.1,14,0,17.07
84,jaru,-10.44,-62.47,76.37,76.37,91,99,1.77
85,lorengau,-2.02,147.27,83.16,83.16,73,12,4.23
86,lompoc,34.64,-120.46,67.17,75.0,82,1,8.05
87,cotui,19.05,-70.15,68.81,79.0,88,47,4.41
88,srivardhan,18.03,73.02,73.31,73.31,57,70,3.56
89,thompson,55.74,-97.86,17.17,17.17,96,100,3.69
90,butaritari,3.07,172.79,85.03,85.03,72,12,10.56
91,shitanjing,39.23,106.34,22.44,22.44,88,16,4.41
92,carlsbad,33.16,-117.35,64.27,73.99,49,1,8.05
93,kavieng,-2.57,150.8,84.36,84.36,71,95,8.97
94,inirida,3.87,-67.92,78.75,78.75,81,100,2.3
95,chuy,-33.7,-53.46,67.91,67.91,76,24,7.36
96,ambilobe,-13.2,49.05,74.59,74.59,95,99,4.7
97,tuktoyaktuk,69.45,-133.04,-16.22,-16.22,96,100,21.56
98,busselton,-33.65,115.33,68.09,72.0,52,19,8.79
99,blantyre,-15.79,35.01,64.94,64.94,95,17,3.27
100,arraial do cabo,-22.97,-42.03,75.79,75.79,83,0,9.4
101,raudeberg,61.99,5.14,44.74,46.0,90,100,39.1
102,yangambi,0.81,24.43,71.26,71.26,40,42,1.36
103,barabinsk,55.36,78.36,2.57,2.57,94,99,11.97
104,mahebourg,-20.41,57.7,75.7,77.0,83,75,11.41
105,bousso,10.48,16.71,63.57,63.57,14,2,7.78
106,terbuny,52.14,38.28,30.11,30.11,86,81,16.84
107,abrau-dyurso,44.69,37.59,44.01,44.01,70,100,15.99
108,chokurdakh,70.63,147.92,-26.25,-26.25,82,85,4.25
109,saskylakh,71.92,114.08,-20.0,-20.0,92,100,17.58
110,shihezi,44.3,86.03,4.1,4.1,96,68,2.39
111,pitimbu,-7.47,-34.81,79.47,79.47,85,71,4.7
112,tasiilaq,65.61,-37.64,26.6,26.6,73,100,12.75
113,blairmore,49.6,-114.44,25.68,25.68,88,60,6.8
114,dragomiresti-vale,44.48,25.93,34.0,34.0,83,100,0.96
115,tiksi,71.69,128.87,-26.52,-26.52,67,0,5.5
116,phan thiet,10.93,108.1,69.89,69.89,88,69,3.38
117,hailar,49.2,119.7,-4.45,-4.45,92,43,7.29
118,akniste,56.16,25.75,31.53,31.53,96,12,6.2
119,adrar,20.5,-10.07,76.23,76.23,21,83,11.05
120,gazli,40.13,63.45,26.87,26.87,78,24,2.3
121,nikolskoye,59.7,30.79,27.64,30.0,81,0,5.88
122,henties bay,-22.12,14.28,64.0,64.0,95,0,1.01
123,hilo,19.73,-155.09,70.93,78.01,83,53,5.01
124,mataura,-46.19,168.86,69.01,69.01,67,73,3.0
125,airai,-8.93,125.41,76.33,76.33,76,100,1.03
126,torbay,47.67,-52.73,17.96,19.0,79,0,3.0
127,chifeng,42.27,118.96,12.7,12.7,71,0,3.2
128,vitim,59.45,112.56,17.96,17.96,92,99,7.61
129,portland,45.52,-122.68,55.17,59.0,74,74,1.72
130,necochea,-38.55,-58.74,61.57,68.0,57,2,5.01
131,preobrazheniye,42.9,133.91,16.38,16.38,39,4,4.85
132,iisaku,59.1,27.31,32.58,32.58,79,38,12.64
133,ponta delgada,37.73,-25.67,61.23,61.23,86,100,11.63
134,rio gallegos,-51.62,-69.22,52.77,52.77,55,50,30.89
135,puchezh,56.98,43.17,26.53,26.53,82,92,22.08
136,proletariy,58.43,31.7,29.52,29.52,82,29,8.34
137,havoysund,71.0,24.66,21.99,21.99,74,97,22.79
138,vestmannaeyjar,63.44,-20.27,39.11,39.11,65,70,15.39
139,caravelas,-17.71,-39.25,77.02,77.02,83,100,10.02
140,beringovskiy,63.05,179.32,14.81,14.81,84,100,7.85
141,taltal,-25.4,-70.48,69.58,69.58,77,0,1.74
142,tara,56.89,74.37,-2.42,-2.42,98,99,7.31
143,dalmatovo,56.26,62.94,8.71,8.71,94,95,9.93
144,sao joao da barra,-21.64,-41.05,74.82,74.82,87,100,6.26
145,bengkulu,-3.8,102.27,74.98,74.98,89,88,2.44
146,tahoua,14.89,5.27,66.42,66.42,10,4,12.86
147,masallatah,32.62,14.0,58.01,58.01,38,89,3.18
148,nieuwpoort,51.12,2.77,37.96,39.0,95,86,5.01
149,te anau,-45.42,167.72,62.67,62.67,80,90,4.34
150,merritt island,28.54,-80.67,63.14,66.99,60,0,1.01
151,halifax,44.65,-63.57,30.36,32.0,78,99,1.01
152,hami,42.8,93.45,6.49,6.49,75,0,1.86
153,saint-philippe,-21.36,55.77,71.02,75.2,73,75,6.93
154,dakar,14.69,-17.44,72.79,72.79,70,46,26.64
155,keti bandar,24.14,67.45,69.13,69.13,86,0,9.89
156,mari-turek,56.79,49.62,19.72,19.72,96,99,4.45
157,constitucion,-35.33,-72.42,62.11,62.11,72,0,8.48
158,georgetown,5.41,100.34,76.44,78.01,88,46,3.0
159,sorland,67.67,12.69,35.13,35.13,79,100,29.84
160,lipari,38.47,14.95,58.84,60.01,20,100,8.68
161,ostrovnoy,68.05,39.51,0.63,0.63,99,65,8.19
162,rongcheng,30.63,117.85,38.5,38.5,98,100,4.05
163,severnyy,50.68,36.55,33.3,33.3,91,96,14.72
164,grand gaube,-20.01,57.66,75.36,77.0,83,75,11.41
165,kloulklubed,7.04,134.26,82.04,82.04,83,36,17.16
166,hambantota,6.12,81.12,78.12,78.12,73,62,20.98
167,nome,64.5,-165.41,-7.51,-7.51,71,0,7.85
168,margate,51.38,1.39,42.35,44.01,91,100,1.99
169,lebu,-37.62,-73.65,64.08,64.08,69,0,10.94
170,uzventis,55.78,22.65,33.8,33.8,95,40,9.17
171,luderitz,-26.65,15.16,65.77,65.77,90,0,16.64
172,saint-gilles,43.68,4.43,49.64,51.01,92,100,1.01
173,marawi,8.0,124.29,77.0,77.0,90,0,4.0
174,quelimane,-17.88,36.89,72.64,72.64,93,16,4.0
175,kutum,14.2,24.67,42.64,42.64,35,0,5.66
176,long beach,33.77,-118.19,67.66,75.99,28,1,5.82
177,xiongyue,40.18,122.12,18.86,18.86,67,0,7.05
178,rudraprayag,30.28,78.98,34.95,34.95,39,41,5.46
179,kaeo,-35.1,173.78,81.5,88.0,68,56,1.99
180,izvestkovyy,48.98,131.55,-5.33,-5.33,93,98,3.6
181,andros town,24.7,-77.77,74.32,74.32,64,49,8.55
182,sudak,44.85,34.97,35.01,35.01,71,1,8.05
183,tambura,5.6,27.47,68.27,68.27,26,29,5.39
184,kabanjahe,3.1,98.49,63.23,63.23,97,64,1.86
185,laguna,38.42,-121.42,59.27,63.0,82,1,3.36
186,semirom,31.42,51.57,10.67,10.67,82,77,3.44
187,calama,-22.47,-68.93,58.51,58.51,89,98,10.0
188,kingsport,36.55,-82.56,36.75,39.0,69,90,5.82
189,nokaneng,-19.67,22.27,77.52,77.52,43,52,6.22
190,vagay,57.94,69.02,-0.49,-0.49,96,83,5.77
191,medea,36.26,2.75,51.93,51.93,54,85,7.09
192,kysyl-syr,63.9,122.76,-34.51,-34.51,95,50,8.99
193,mahon,39.89,4.27,58.06,58.06,82,100,13.91
194,sobolevo,54.43,31.9,29.46,29.46,84,49,10.58
195,puerto quijarro,-17.78,-57.77,77.88,77.88,70,73,2.82
196,husavik,66.04,-17.34,30.2,30.2,92,90,9.17
197,upernavik,72.79,-56.15,-13.83,-13.83,95,78,6.85
198,hammerfest,70.66,23.68,16.77,16.77,89,97,11.27
199,belmonte,-15.86,-38.88,76.05,76.05,93,100,3.06
200,bethel,41.37,-73.41,44.15,51.01,96,100,1.99
201,talaya,61.38,152.75,-30.77,-30.77,94,100,8.23
202,buin,-33.73,-70.75,77.09,84.0,30,0,4.09
203,micheweni,-4.97,39.83,81.64,81.64,85,100,10.2
204,sibolga,1.74,98.78,71.78,71.78,95,95,2.84
205,dukat,62.55,155.55,-24.63,-24.63,98,100,6.13
206,kaitangata,-46.28,169.85,58.48,58.48,80,66,10.56
207,alghero,40.56,8.32,45.5,48.0,93,62,1.99
208,nampula,-15.12,39.27,69.49,69.49,98,94,3.65
209,karachev,53.12,34.99,29.57,29.57,90,77,13.33
210,sao filipe,14.9,-24.5,74.32,74.32,61,33,15.77
211,vila do maio,15.13,-23.22,74.17,74.17,74,66,19.13
212,talnakh,69.49,88.4,2.93,2.93,94,100,6.44
213,yar-sale,66.83,70.83,-4.4,-4.4,99,86,5.35
214,porto novo,6.5,2.6,76.32,76.32,57,45,1.34
215,flin flon,54.77,-101.86,19.9,19.9,97,100,5.86
216,bud,39.45,-86.18,32.27,34.0,86,90,16.11
217,doraha,30.82,76.02,45.77,45.77,76,0,3.06
218,conceicao do araguaia,-8.26,-49.26,76.89,76.89,93,100,3.44
219,ponta do sol,32.67,-17.1,51.6,57.0,57,16,5.01
220,la ronge,55.1,-105.28,22.82,22.82,96,100,2.82
221,lata,40.16,-8.33,43.2,52.0,89,0,0.83
222,grindavik,63.84,-22.43,35.6,35.6,80,40,5.82
223,srednekolymsk,67.45,153.68,-25.67,-25.67,96,100,4.18
224,bandarbeyla,9.49,50.81,78.55,78.55,82,84,20.42
225,anadyr,64.75,177.48,3.56,3.56,94,100,11.45
226,eirunepe,-6.66,-69.87,80.73,80.73,67,91,1.21
227,khasan,42.43,130.64,13.93,13.93,76,0,4.88
228,krasnoselkup,65.7,82.47,-6.43,-6.43,99,92,8.28
229,samarai,-10.62,150.67,87.44,87.44,58,67,2.62
230,ahipara,-35.17,173.17,88.0,88.0,68,59,1.99
231,mikkeli,61.67,27.25,18.0,18.0,99,27,1.01
232,tezu,27.92,96.17,47.53,47.53,59,23,3.15
233,saldanha,-33.01,17.94,64.4,64.4,77,29,3.36
234,pangnirtung,66.15,-65.71,-37.07,-37.07,99,100,1.57
235,cozumel,20.51,-86.95,78.35,79.0,81,12,7.0
236,berlevag,70.86,29.09,22.66,22.66,73,100,27.4
237,geraldton,-28.77,114.6,72.57,72.57,84,30,15.68
238,sitka,57.05,-135.33,41.65,41.65,93,100,20.49
239,portsmouth,50.8,-1.09,45.41,48.0,94,79,5.01
240,iranshahr,27.2,60.68,55.04,55.04,67,0,1.7
241,iwanai,42.97,140.51,16.12,16.12,90,100,3.49
242,provideniya,64.38,-173.3,-4.65,-4.65,68,0,3.67
243,pathalgaon,22.57,83.47,52.21,52.21,37,0,3.91
244,port blair,11.67,92.75,77.9,77.9,71,100,14.29
245,kungurtug,50.6,97.52,4.08,4.08,75,91,4.03
246,jalu,29.03,21.55,53.08,53.08,52,12,8.68
247,kavaratti,10.57,72.64,80.8,80.8,67,88,3.0
